브랜드,모델명,이름,연식,주행거리(km),가격(만원),URL
현대,그랜저,현대 그랜저 HG  HG240 모던,2014,"65,800","1,049",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=37579033&view_type=checked&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p401_g16&tempht_arg=nO1qGO37M2o9_15
현대,그랜저,현대 그랜저 HG  LPG HG300 익스클루시브,2014,"92,000","1,250",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=38022148&view_type=normal&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p681_g3&tempht_arg=1VcVH35mQu49_2
현대,그랜저,현대 그랜저 HG  HG300 프리미엄,2014,"110,200",800,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=38257182&view_type=normal&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p1411_g4&tempht_arg=hz13s85vbkY7_3
현대,그랜저,현대 그랜저 HG 하이브리드  프리미엄,2014,"115,100","1,240",http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=38371985&view_type=normal&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p121_g4&tempht_arg=13FzkWj8qh69_3
현대,그랜저,현대 그랜저 HG  HG220 디젤 프리미엄,2014,"134,100",870,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=38416239&view_type=normal&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p581_g7&tempht_arg=1ss3Ow6Orv48_6
현대,그랜저,현대 그랜저 HG  HG300 익스클루시브,2014,"134,500",949,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=38087915&view_type=normal&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p631_g2&tempht_arg=13mbb82JeHU4_1
현대,그랜저,현대 그랜저 HG  HG300 익스클루시브,2014,"144,600",800,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=37395373&view_type=checked&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p1131_g10&tempht_arg=1EZ3T80nsYS9_9
현대,그랜저,현대 그랜저 HG  HG300 프리미엄,2014,"149,200",620,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=38189854&view_type=normal&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p1201_g3&tempht_arg=i1z3R8isdK69_2
현대,그랜저,현대 그랜저 HG 하이브리드  프리미엄,2014,"154,000",840,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=37353086&view_type=checked&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p561_g15&tempht_arg=D1gE3I8G6fJ4_14
현대,그랜저,현대 그랜저 HG  LPG HG300 모던,2014,"154,100",780,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=38347876&view_type=normal&adv_attribute=&wtClick_korList=019&advClickPosition=kor_normal_p71_g21&tempht_arg=1XG3Wvju6m77_20
